"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X1.EB28.05.19","X1.EB29.05.19","X1.EB31.05.19","X1.LB28.05.19","X1.LB29.05.19","X1.LB31.05.19","X18KB7065603","X18KB7065604","X18KB7065605","X18KB7065606","X18KB7065607","X18KB7065608","X18KB7065609","X18KB7065610","X18KB7065611","X18KB7065612","X18KB7065613","X18KB7065614","X18KB7065615","X18KB7065616","X18KB7065617","X18KB7065618","X18KB7065619","X18KB7065620","X18KB7065621","X18KB7065622","X18KB7065623","X18KB7065624","X18KB7065625","X18KB7065626","X18KB7065627","X18KB7065628","X18KB7065629","X18KB7065630","X18KB7065631","X18KB7065632","X18KB7065633","X18KB7065634","X18KB7065635","X18KB7065636","X18KB7065637","X18KB7065638","X18KB7065639","X18KB7065640","X18KB7065641","X18KB7065642","X18KB7065644","X19KB5524101","X19KB5524102","X19KB5524103","X19KB5524104","X19KB5524105","X19KB5524106","X19KB5524107","X19KB5524108","X19KB5524109","X19KB5524110","X19KB5524111","X19KB5524112","X19KB5524113","X19KB5524114","X19KB5524115","X19KB5524116","X19KB5524117","X19KB5524118","X19KB5524119","X19KB5524120","X19KB5524121","X19KB5524122","X19KB5524123","X19KB5524124","X19KB5524125","X19KB5524126","X19KB5524127","X19KB5524128","X19KB5524129","X19KB5524130","X19KB5524131","X19KB5524132","X2.EB28.05.19","X2.EB29.05.19","X2.LB28.05.19","X2.LB29.05.19","KPH107","KPH152","PCRblank_B1","PCRblank_D1"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GL01_000338929",1,0.988095238095238,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,920,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus","GL01_000035649",0.988,0.954022988505747,1043836,7,3,2,4,3,0,9,1,5,8,0,3,0,2,1,1,0,5,56874,5,3,6,0,6,0,0,1,51337,53771,1,109500,8,3,5,2,174,1,21,8,85,110835,120844,474,11,3,4367,3,0,1,1590,12,774,23827,391,0,4,9,116527,5,20,270190,8,7,0,34,44954,1779,0,20804,5,11,2,3,31215,1,8,23197,4,24,6,0,10,1,5,3,1,2
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes terraenovae","GL01_000085921",1,0.982142857142857,13755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,3,12840,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,481,0,1,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","GL01_000093573",0.93,0.919540229885057,1460815,8,1,0,1,10,2,18,2,21987,11,3,4,6,6,1,4,0,32580,11,34652,3,4907,10,0,7,121,1,7,3432,8,35,35,12003,5,1,768134,0,20,43898,33,115,162948,33,16,3,320,4,4,0,66,94521,9,66591,10,1,4,19,43071,1,33,22973,1618,3,5,34,18,21,5,24803,83328,12,3,8,11423,1,14,10669,10,15984,3,89,9,3,22,1,19,1
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae",NA,NA,"GL01_000102148",0.890173410404624,0.890173410404624,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","GL01_000396772",0.953,0.936781609195402,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Limanda","Limanda aspera","GL01_000043999",1,0.953216374269006,482,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus","GL01_000043277",0.994,0.964705882352941,6647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6632,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus kitt","GL01_000268624",0.994,0.970414201183432,28234,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,1,0,1,0,0,0,4,20535,0,6300,0,0,1,0,0,0,1,0,1371,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo salar","GL01_000000095",1,1,53418,0,0,0,6,24,0,1,11,0,1,12,0,0,0,0,0,0,0,1,32,1,0,0,0,3,0,0,0,0,2,3,33,0,1,9,11,0,6,0,0,0,4,3,11,0,0,0,0,0,27,9,0,14,53046,1,12,0,3,0,4,9,6,4,0,1,0,0,0,0,20,0,0,0,32,0,1,13,0,2,0,0,35,0,0,0,1,3
