"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2020611_025","X2020611_026","X2020611_027","X2020611_028","X2020611_029","X2020611_030","X2020611_031","X2020611_032","X2020611_041","X2020611_042","X2020611_043","X2020611_044","X2020611_045","X2020611_047","X2020611_048","X2020611_049","X2020611_050","X2020611_051","X2020611_052","X2020611_053","X2020611_054","X2020611_055","X2020611_056","X2020611_057","X2020611_058","X2020611_059","X2020611_060","X2020611_061","X2020611_062","X2020611_063","X2020611_064","X2020611_082","X2020611_083","X2020611_084","X2020611_085","X2020611_086","X2020611_087","X2020611_088","X2020611_091","X2020611_092","X2020611_093","X2020611_094","X2020611_095","X2020611_096","X2020611_097","X2020611_098","X2020611_099","X2020611_100","X2020611_101","X2020611_102","X2020611_103","X2020611_104","X2020611_105","X2020611_106","X2020611_107","X2020611_108","X2020611_109","X2020611_110","X2020611_111","X2020611_112","X2020611_114","X2020611_115","X2020611_116","X2020611_117","X2020611_118","X2020611_119","X2020611_120","X2020611_123","X2020611_124","X2020611_125","X2020611_126","X2020611_127","X2020611_128","X2020611_46","KPH250","PCRblank_B1","PCRblank_D1"
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes vahlii","GL01_000110023",1,0.970238095238095,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","GL01_000149674",0.948,0.942528735632184,25490,0,0,384,0,0,776,0,0,0,0,1,0,1,491,0,0,0,157,1,404,271,524,0,0,0,1,1,0,919,1,0,0,0,424,0,0,0,0,169,1,0,734,0,0,0,0,6612,283,215,494,0,1,0,1,0,7236,0,299,1913,922,0,1586,205,0,288,0,0,170,0,0,1,0,0,3,0,1,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","GL01_000053808",0.943,0.932203389830508,35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus kitt","GL01_000026368",1,0.976331360946746,2355,0,0,0,0,0,1,0,0,0,0,0,0,0,94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,140,0,0,176,0,0,0,0,105,170,126,1,0,0,0,0,0,0,0,227,0,489,0,0,140,0,199,0,0,180,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus maximus","GL01_000142793",1,1,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo salar","GL01_000202717",0.918,0.913513513513514,1283486,5,0,17,2,1,43,44,2,0,0,52,0,1,9,6324,0,15,615,19,1,90,9,5153,0,63,32,83,5,28,21,8,0,8406,4985,8,3,91007,2,11,18477,19,5187,8,2,1,1,92354,37731,33804,60708,1,120422,5,14,27,49103,8491,43438,68651,59277,5,77047,143746,26837,34502,197980,31161,36027,12826,2,8526,2,8,23,0,7,2
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes|Hyperoplus","Ammodytes marinus|Hyperoplus lanceolatus|Ammodytes tobianus","GL01_000342913",0.933,0.922651933701657,3897,0,0,0,0,0,0,0,0,0,0,0,0,285,0,514,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3094,0,0,0,0
"Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","GL01_000180876",0.994,0.792899408284024,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","GL01_000155264",1,1,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa","GL01_000007964",0.988,0.988235294117647,3893,0,0,0,3121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,768,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera physalus","GL01_000351431",1,0.982352941176471,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0
"Animalia","Chordata","Mammalia","Cetacea","Phocoenidae","Phocoena","Phocoena phocoena","GL01_000047885",0.983,0.982658959537572,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
