"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021614_1","X2021614_10","X2021614_107","X2021614_11","X2021614_111","X2021614_120","X2021614_127","X2021614_128","X2021614_129","X2021614_131","X2021614_138","X2021614_140","X2021614_144","X2021614_145","X2021614_149","X2021614_151","X2021614_153","X2021614_158","X2021614_16","X2021614_160","X2021614_164","X2021614_167","X2021614_168","X2021614_170","X2021614_174","X2021614_179","X2021614_180","X2021614_183","X2021614_185","X2021614_19","X2021614_218","X2021614_25","X2021614_26","X2021614_27","X2021614_3","X2021614_43","X2021614_44","X2021614_48","X2021614_5","X2021614_50","X2021614_7","X2021614_8","X2021614_EB171121","X2021614_EB181121","Mock_v5_NH_br1","Mock_v5_NH_br2","Mock_v5_NH_br3","NTC_NH"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Agonidae","Leptagonus","Leptagonus decagonus","GG03_000006683",1,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas spp.","GG03_001619350",0.953,0.953488372093023,89916,0,1,4,26489,0,1,0,4304,31629,0,5,2,2,0,9,9964,16889,0,1,0,20,3,0,2,3,1,0,4,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,259,118,200,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","GG03_000007358",0.97,0.970588235294118,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,8,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus|Icelus","Artediellus atlanticus|Icelus cataphractus|Icelus spatula","GG03_000008608",0.994,0.994047619047619,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,87,78,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Taurulus","Taurulus bubalis","GG03_000001164",1,0.988095238095238,2755,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2702,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,13,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","GG03_000000500",1,0.994082840236686,210840,1,1,2,3,9,0,1,0,7,202,5,4,4,0,12,484,4,1,0,1,5944,4,0,7,0,6,0,51622,0,0,13554,1,0,0,0,7,0,0,0,0,0,0,0,0,43016,27812,68126,0
"Animalia","Chordata","Teleostei","Gasterosteiformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","GG03_000020261",1,1,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,34,126,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Careproctus","Careproctus reinhardti","GG03_000061737",1,0.964285714285714,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,22,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Liparis","Liparis montagui","GG03_000143236",1,0.988165680473373,46,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,14,9,10,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG03_000570544",0.929824561403509,0.929824561403509,32,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
