"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021512_1","X2021512_10","X2021512_100","X2021512_101","X2021512_102","X2021512_103","X2021512_123","X2021512_124","X2021512_125","X2021512_126","X2021512_127","X2021512_128","X2021512_129","X2021512_130","X2021512_131","X2021512_132","X2021512_133","X2021512_155","X2021512_156","X2021512_157","X2021512_158","X2021512_159","X2021512_160","X2021512_161","X2021512_163","X2021512_164","X2021512_165","X2021512_2","X2021512_3","X2021512_32","X2021512_33","X2021512_34","X2021512_35","X2021512_36","X2021512_37","X2021512_38","X2021512_39","X2021512_4","X2021512_40","X2021512_44","X2021512_45","X2021512_46","X2021512_47","X2021512_48","X2021512_49","X2021512_5","X2021512_50","X2021512_51","X2021512_52","X2021512_54","X2021512_6","X2021512_65","X2021512_66","X2021512_67","X2021512_68","X2021512_69","X2021512_70","X2021512_71","X2021512_72","X2021512_73","X2021512_8","X2021512_9","X2021512_95","X2021512_96","X2021512_97","X2021512_98","X2021512_99","X2022624_102","X2022624_110","X2022624_125","X2022624_129","X2022624_130","X2022624_138","X2022624_22","X2022624_29","X2022624_30","X2022624_33","X2022624_41","X2022624_46","X2022624_51","X2022624_60","X2022624_84","X2022624_85","X2022624_86","X2022624_87","X2022624_88","X2022624_89","X2022624_90","X2022624_91","X2022624_92","X2022624_94","X2022624_97","X2022624_99","X2022624_LB23062023","NTC_NL","PC_NL"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus luscus","GG01_000414838",0.935,0.935672514619883,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus minutus","GG01_000023625",1,1,92942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12541,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,80383,0,0,0,3,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Brosme","Brosme brosme","GG01_000894336",0.953,0.930232558139535,233204,0,0,0,0,18780,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57353,0,0,8189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,107845,0,0,0,14643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14016,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Molva","Molva molva","GG01_000229864",0.994,0.994186046511628,41953,12908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3082,12323,0
"Animalia","Chordata","Teleostei","Perciformes","Gobiidae","Crystallogobius","Crystallogobius linearis","GG01_003232710",0.994,0.994082840236686,6533,0,0,0,0,0,0,0,0,6532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Protomyctophum","Protomyctophum arcticum","GG01_001866937",0.988,0.988372093023256,4249,0,0,0,0,0,0,0,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","GG01_000024036",0.994,0.994047619047619,254997,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,2,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,27,0,243323,0,0,0,1,0,0,0,12,1536,0,0,0,0,0,0,1,0,6999,0,0,3014,56,0
"Animalia","Chordata","Teleostei","Perciformes|Scorpaeniformes","Stichaeidae|Cyclopteridae","Anisarchus|Cyclopterus|Leptoclinus","Anisarchus medius|Cyclopterus lumpus|Leptoclinus maculatus","GG01_000688850",0.953,0.952662721893491,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Triglops","Triglops murrayi","GG01_000383846",1,0.952662721893491,40648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40636,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus|Leptoclinus","Lumpenus lampretaeformis|Leptoclinus maculatus","GG01_002327375",0.959,0.952662721893491,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
