"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021614_100","X2021614_101","X2021614_102","X2021614_103","X2021614_104","X2021614_106","X2021614_108","X2021614_113","X2021614_114","X2021614_117","X2021614_118","X2021614_121","X2021614_123","X2021614_126","X2021614_130","X2021614_133","X2021614_136","X2021614_147","X2021614_150","X2021614_154","X2021614_156","X2021614_157","X2021614_159","X2021614_161","X2021614_162","X2021614_163","X2021614_169","X2021614_17","X2021614_171","X2021614_172","X2021614_178","X2021614_181","X2021614_211","X2021614_216","X2021614_217","X2021614_23","X2021614_24","X2021614_31","X2021614_33","X2021614_37","X2021614_38","X2021614_4","X2021614_40","X2021614_46","X2021614_51","X2021614_83","X2021614_9","X2021614_96"
"Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus","GG04_000017560",1,0.988095238095238,19176,0,0,8,0,19100,4,0,0,0,0,2,4,3,1,2,0,1,2,1,0,1,2,0,1,7,9,0,1,0,1,2,0,8,0,1,0,0,0,0,0,1,0,0,1,0,0,9,4
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG04_000842836",0.953,0.941520467836257,221215,0,6,1,1,2,0,0,5312,0,0,3,8088,9746,8196,0,5603,10146,31816,5055,1792,0,12183,0,12460,22689,29211,14143,0,0,14458,0,0,20610,3984,5706,0,0,0,0,0,0,0,0,0,0,0,1,3
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG04_001201577",0.929411764705882,0.929411764705882,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,5,0,0,14,4,0,0,0,0,0,0,43,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus|Leptoclinus","Lumpenus lampretaeformis|Leptoclinus maculatus","GG04_000051080",1,0.994082840236686,75625,4,0,17,1,30,22589,0,1,6,1,9,9,14,8035,11,6,3492,15,3,5,0,17,3,1,3901,16,4,88,0,4,6979,0,47,3,14,0,2,0,0,0,0,0,0,17921,0,0,15,12362
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes vahlii","GG04_000728931",1,0.982142857142857,20795,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20785,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus","GG04_000959063",0.907,0.902857142857143,29,0,0,0,0,1,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus kitt","GG04_000098561",0.947,0.929411764705882,1005644,34215,2,659,16993,31667,47962,0,6,39,0,68853,14064,3,22658,7,8728,150741,95173,6,38629,0,52175,0,4,136170,36963,0,1,0,39199,17613,5,120058,2,40718,0,1,7751,1,1,1,0,0,6,1,2,6,24561
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","GG04_000000580",1,1,101288,13137,1,1,4908,15,9124,1,2,13,0,103,7,8,8073,1,6,17379,5202,2,3851,0,8,0,0,6812,6,0,0,0,8,1,0,24697,1,3630,0,0,2,0,0,0,0,0,0,0,2,0,4287
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","GG04_000481045",1,1,7182,0,7176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo salar","GG04_000145616",1,1,198973,4,14,7,1,10,10,1,0,2,0,3,8,3,4,0,0,5,43279,100683,5269,29,28107,0,21411,13,21,2,0,4,8,4,7,15,13,8,0,1,0,0,0,0,0,0,0,10,9,2,6
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes|Hyperoplus","Ammodytes marinus|Hyperoplus lanceolatus|Ammodytes tobianus","GG04_000155426",1,0.994082840236686,105604,15489,0,0,0,1,8310,0,0,11588,0,29488,0,8301,0,0,0,0,1,0,1,0,15583,0,0,2,16829,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2
"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata","GG04_000000383",0.994,0.994475138121547,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,95,0
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","GG04_000305030",1,1,29974,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13610,16360,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa","GG04_000381329",1,1,26478,0,0,0,0,1,0,0,0,0,1,8385,3682,2,0,0,0,0,0,7,395,0,0,0,0,0,2168,2,2,0,5579,0,0,0,0,0,0,6249,0,0,0,0,0,0,0,0,0,5,0
"Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus","GG04_000012533",1,0.994082840236686,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Phocoenidae","Phocoena","Phocoena phocoena","GG04_000192434",1,1,836,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,199,0,0,0,0,0,0,0,0,0,0
"Animalia","Echinodermata","Echinoidea",NA,NA,NA,NA,"GG04_000733502",0.947,0.63,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"Animalia","Echinodermata","Echinoidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens","GG04_000452427",0.994,0.687830687830688,2318,0,0,0,0,749,0,0,0,0,0,0,0,0,706,0,0,0,0,16,0,0,0,0,0,1,0,0,0,1,0,14,0,0,0,3,0,0,822,0,0,0,0,0,0,0,0,0,6
