"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2018625_1.EB31.05.19","X2018625_15","X2018625_2.LB29.05.19","X2018625_21","X2018625_22","X2018625_24","X2018625_25","X2018625_26","X2018625_29","X2018625_3","X2018625_32","X2018625_33","X2018625_34","X2018625_37","X2018625_39","X2018625_40","X2018625_41","X2018625_5","X2018625_8","X2020611_131","X2020611_132","X2020611_133","X2020611_134","X2020611_135","X2020611_136","X2020611_139","X2020611_140","X2020611_141","X2020611_142","X2020611_143","X2020611_144","X2020611_145","X2020611_147","X2020611_148","X2020611_149","X2020611_150","X2020611_151","X2020611_152","X2020611_EB11042022","X2020611_LB11042022","X2020611_LB13042022","X2021607_146","X2021607_148","X2021607_149","X2021607_150","X2021607_151","X2021607_152","X2021607_153","X2021607_154","X2021607_157","X2021607_158","X2021607_159","X2021607_160","X2021607_161","X2021607_162","X2021607_163","X2021607_164","X2021607_165","X2021607_176","X2021607_183","X2021607_184","X2021607_185","X2021607_190","X2021607_191","X2021607_192","X2021607_193","X2021607_194","X2021607_195","X2021607_197","X2021607_198","X2021607_1EB190521","X2021607_1LB210521","X2021607_1LB270521","X2021607_220","X2021607_223","X2021607_225","X2021607_226","X2021607_228","X2021607_229","X2021607_230","X2021607_231","X2021607_273","X2021607_284","X2021607_2EB110521","X2021607_EB040821","X2021607_EB100821","X2021607_EB230821","X2021607_LB230821","Mock_v5_NF_br1","Mock_v5_NF_br2","Mock_v5_NF_br3","NTC_NF"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Enchelyopus","Enchelyopus cimbrius","GG01_011006452",1,0.86046511627907,8334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Ciliata","Ciliata septentrionalis","GG01_008045003",1,0.88953488372093,19710,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18536,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,1,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus|Merlangius","Melanogrammus aeglefinus|Merlangius merlangus","GG01_004990924",0.936,0.905027932960894,164908,0,0,0,0,0,0,0,2,0,0,5200,0,0,2,1,0,0,1,0,0,1347,7751,3,1,1,19091,9519,1,3,0,9519,0,6,3,2,4,0,3,0,0,0,9,6,7,3,6,3,11,10473,0,452,3,0,0,4,4897,3,2,5010,2,4,31833,3632,12,3,24796,0,2,4,5948,0,0,0,11,2,3291,2,14868,2306,4729,29,0,0,0,0,0,0,0,15,29,41,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae",NA,NA,"GG01_001752550",0.898876404494382,0.898876404494382,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Boreogadus","Boreogadus saida","GG01_001338213",0.937142857142857,0.937142857142857,21,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Arctogadus","Arctogadus glacialis","GG01_000094608",0.971,0.970588235294118,239,0,1,0,0,0,0,0,0,0,0,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,1,1,0,1,0,0,0,1,26,0,7,0,0,0,0,0,1,0,0,2,0,4,0,0,0,2,0,56,0,7,1,3,14,0,0,0,0,0,0,0,8,1,16,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Gadus","Gadus morhua","GG01_001014766",0.872093023255814,0.872093023255814,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,2,24,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou","GG01_000274428",0.988,0.988372093023256,19356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8755,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,10586,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens","GG01_001120083",0.942,0.941860465116279,360462,0,1,0,0,0,0,0,1,0,0,32,0,0,16112,0,2,9061,0,0,1,1,5,1,2,1,9,2,0,2,0,8144,3,7,0,2,0,0,5,0,0,0,33172,7612,15107,8,4,3,2292,4449,1,2,5,0,0,7,6,5997,11143,13,16944,3,17027,2393,21451,14637,15759,1425,10,44939,33194,0,0,0,20159,3,9228,0,13,7322,42616,24,0,0,0,0,0,0,0,14,63,23,0
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","GG01_010154606",0.992,0.947674418604651,4928,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Animalia","Chordata","Teleostei","Perciformes","Gobiidae",NA,NA,"GG01_005498532",0.884393063583815,0.884393063583815,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Gobiidae","Pomatoschistus","Pomatoschistus minutus","GG01_005496036",0.918,0.919540229885057,18849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11663,3525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3660,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Gobiidae","Crystallogobius","Crystallogobius linearis","GG01_008410323",1,1,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2486,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7612,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Osmeriformes",NA,NA,NA,"GG01_002679648",0.878453038674033,0.878453038674033,679,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,3,7,8,11,0,4,0,0,1,0,0,3,0,0,1,0,0,0,0,0,13,36,41,1,12,1,31,18,47,11,45,0,6,3,17,8,44,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,72,8,67,0,55,13,6,0,0,0,0,0,0,0,11,12,26,0
"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","GG01_004014184",0.952,0.952662721893491,15894731,3,28540,2,1,21,4,6,7,3,1,100009,0,12166,10,8,2,10,5441,1,83179,111757,64761,169837,71178,88601,8,34505,6316,5,31536,13,0,12291,8,9,5542,0,3081,1,1,1,349919,983594,768692,537407,1084434,276968,338909,933138,350289,418255,869613,122334,115114,841783,604130,668874,607835,950959,0,2415,10,2243,13914,8,3,864,12,6179,1163,0,0,4,349120,781369,230442,820493,117712,1291909,257417,136584,0,1,0,0,1,8,0,83473,41210,107065,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus|Icelus","Artediellus atlanticus|Icelus cataphractus|Icelus spatula","GG01_000531741",0.946,0.947058823529412,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,107,0
