"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021614_173","X2021614_21","X2021614_30","X2021614_34","X2021614_6","X2021614_98","X2021614_EB221121_3","X2022607_100","X2022607_103","X2022607_104","X2022607_105","X2022607_106","X2022607_107","X2022607_108","X2022607_109","X2022607_110","X2022607_111","X2022607_148","X2022607_149","X2022607_150","X2022607_152","X2022607_155","X2022607_170","X2022607_174","X2022607_176","X2022607_177","X2022607_178","X2022607_18","X2022607_181","X2022607_182","X2022607_187","X2022607_189","X2022607_198","X2022607_2","X2022607_201","X2022607_204","X2022607_206","X2022607_207","X2022607_208","X2022607_209","X2022607_21","X2022607_211","X2022607_23","X2022607_246","X2022607_25","X2022607_256","X2022607_28","X2022607_29","X2022607_3","X2022607_34","X2022607_4","X2022607_41","X2022607_51","X2022607_54","X2022607_55","X2022607_62","X2022607_63","X2022607_64","X2022607_66","X2022607_68","X2022607_70","X2022607_72","X2022607_75","X2022607_76","X2022607_8","X2022607_80","X2022607_81","X2022607_82","X2022607_83","X2022607_84","X2022607_85","X2022607_86","X2022607_87","X2022607_88","X2022607_91","X2022607_92","X2022607_93","X2022607_94","X2022607_95","X2022607_96","X2022607_97","X2022607_98","X2022607_99","X2022607_EB03062022","X2022607_EB160922_2","X2022607_EB270922","X2022607_LB08062022","X2022607_LB160922","NTC_NI","PC_NI"
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Brosme","Brosme brosme","GG01_003970496",0.942,0.92485549132948,41713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2785,3364,3537,0,0,0,0,2,0,0,3,2,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3132,0,0,4201,0,0,6157,0,0,0,0,0,0,0,0,0,0,0,18515
"Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Molva","Molva molva","GG01_002200140",0.994,0.994186046511628,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Gobiidae","Pomatoschistus","Pomatoschistus minutus","GG01_000723219",0.917,0.925287356321839,2547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2215,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Gobiidae","Crystallogobius","Crystallogobius linearis","GG01_000721955",1,1,41871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,1,4518,0,0,0,0,0,0,0,3589,0,0,2263,14605,342,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8577,0,0,0,0,0,7011,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Lophiiformes","Lophiidae","Lophius","Lophius piscatorius","GG01_000984599",1,1,14974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14968,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","GG01_000000224",0.994,0.994047619047619,3403507,27439,5,0,0,0,7513,1,0,0,0,0,3,10,0,1,0,1,39333,18657,6359,31888,17322,41,6,2,6382,0,57610,1717,13337,0,6165,6351,390825,0,4095,14793,15818,35490,4879,233978,26701,15,0,54653,0,37596,106836,540696,0,502215,8189,1728,18296,397,37898,26146,35406,5967,71715,85178,146715,158903,107450,359523,3,0,14424,1227,3642,1,3,1,517,3674,0,1271,0,0,1,2,19592,0,33,0,11,0,0,0,86861
"Animalia","Chordata","Teleostei","Scorpaeniformes","Agonidae","Agonus","Agonus cataphractus","GG01_000018645",1,0.93491124260355,40976,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29278,0,0,0,11683,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus","Artediellus uncinatus","GG01_005005414",0.948,0.936781609195402,14119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis","GG01_002660100",0.912,0.906976744186046,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Triglops","Triglops murrayi","GG01_003356381",0.994,0.952662721893491,24330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
